text,context,label
"I missed my deadline today.","Too many distractions.","Negative"
"My boss appreciated my effort.","Finally got recognition!","Positive"
"Studied all night for the exam.","Hoping for a good grade.","Neutral"
"Got a promotion at work!","Hard work pays off.","Positive"
"I forgot my project at home.","So frustrated right now.","Negative"
"Completed all my tasks early.","Time to relax.","Positive"
"My professor gave great feedback.","Feeling motivated.","Positive"
"Struggling to focus today.","Just not my day.","Negative"
"Worked overtime again.","Exhausted but necessary.","Negative"
"Group project went smoothly.","Great teamwork.","Positive"
"Had to redo my entire report.","Lost all my progress.","Negative"
"Finally understood the concept.","Studying paid off.","Positive"
"My laptop crashed mid-assignment.","Lost everything!","Negative"
"Got a compliment from a coworker.","Made my day.","Positive"
"Had a productive study session.","Feeling accomplished.","Positive"
"Rejected from the internship.","Need to improve.","Negative"
"Public speaking went well.","Surprisingly confident.","Positive"
"Missed an important meeting.","Totally forgot about it.","Negative"
"Helped a friend with their project.","Glad to support.","Positive"
"Finals week is overwhelming.","Need more time.","Negative"
"Couldn't focus in class today.","Too many thoughts.","Negative"
"My team won the hackathon!","Months of effort paid off.","Positive"
"Had a tough conversation with my manager.","Hope things improve.","Neutral"
"Forgot to submit my assignment.","Missed the deadline.","Negative"
"Finished reading a research paper.","Gained new insights.","Positive"
"Got my first paycheck!","Hard work rewarded.","Positive"
"Struggled with coding today.","Bugs everywhere.","Negative"
"My colleague supported my idea.","Felt valued.","Positive"
"Didn't understand today's lecture.","Confusing topic.","Negative"
"Had a great brainstorming session.","Ideas were flowing.","Positive"
"My internet went out during class.","Missed everything.","Negative"
"Helped my classmate with homework.","Feels good to assist.","Positive"
"Got constructive criticism from my professor.","Helpful feedback.","Neutral"
"Pulled an all-nighter again.","Exams are tough.","Negative"
"My research got accepted in a journal!","A huge achievement.","Positive"
"Missed my morning meeting.","Slept through the alarm.","Negative"
"Started a new online course.","Excited to learn!","Positive"
"Team presentation went terribly.","We weren’t prepared.","Negative"
"Got a scholarship for my studies.","Hard work paid off!","Positive"
"Had a long day at work.","Completely drained.","Negative"
"Presented my project confidently.","No nervousness at all.","Positive"
"Accidentally deleted my report.","Had no backup.","Negative"
"Got an A on my final exam!","Hard work paid off.","Positive"
"My coworker took credit for my idea.","Frustrated and disappointed.","Negative"
"Finished all my assignments on time.","Feels satisfying.","Positive"
"Got rejected from another job.","Feeling hopeless.","Negative"
"Had a great discussion with my professor.","Learned a lot.","Positive"
"My internet was slow during an important call.","Really frustrating.","Negative"
"Helped organize a charity event.","Proud of the impact.","Positive"
"Forgot to bring my notes to class.","Felt unprepared.","Negative"
"Received an unexpected bonus.","What a great surprise!","Positive"
"Missed my bus and was late to work.","Not a great start.","Negative"
"Started learning a new programming language.","Excited for the challenge.","Positive"
"Had to work late again.","So exhausted.","Negative"
"My mentor gave me great career advice.","Really helpful guidance.","Positive"
"Accidentally sent an unfinished email to my manager.","Embarrassing mistake.","Negative"
"Got selected for a leadership program.","Honored and excited!","Positive"
"My team didn't meet the deadline.","Feeling responsible.","Negative"
"Published my first research article.","Huge milestone!","Positive"
"Finals week is finally over.","What a relief.","Neutral"
"Had a productive morning at work.","Got so much done!","Positive"
"Lost my notebook with all my notes.","Now I have to redo everything.","Negative"
"Got accepted into my dream university!","Still can’t believe it.","Positive"
"My professor didn’t like my project.","Feeling discouraged.","Negative"
"Finished a difficult coding challenge.","Took me hours but worth it.","Positive"
"Had a misunderstanding with my boss.","Hope we can resolve it.","Neutral"
"My coworker didn’t do their part of the project.","Now I have extra work.","Negative"
"Helped a junior colleague with their assignment.","Happy to support.","Positive"
"Forgot my presentation at home.","Had to improvise.","Negative"
"Finally completed my thesis!","What a relief.","Positive"
"Had a terrible internet connection during my exam.","So frustrating.","Negative"
"My article got featured in a well-known journal.","Feeling accomplished.","Positive"
"Struggled to concentrate during my lecture.","Mind was elsewhere.","Negative"
"My teammates appreciated my leadership.","Nice to be recognized.","Positive"
"Spilled coffee on my laptop.","Now it won’t turn on.","Negative"
"Received an award for academic excellence.","Didn’t expect it!","Positive"
"My boss assigned me an unrealistic deadline.","Feeling overwhelmed.","Negative"
"Finally understood a tough math concept.","Feels amazing!","Positive"
"My classmate ignored my ideas in a group discussion.","Felt unheard.","Negative"
"Finished grading all my students' assignments.","Took hours but done!","Neutral"
"Had a great one-on-one with my manager.","Feeling valued.","Positive"
"My work got rejected again.","Need to improve.","Negative"
"Completed my first freelance project.","Excited for more!","Positive"
"Forgot to save my work before my laptop crashed.","Lost everything.","Negative"
"Finally finished my research paper.","Such a relief.","Positive"
"My colleague interrupted me during a meeting.","Felt disrespected.","Negative"
"Started a new project with an amazing team.","Looking forward to it!","Positive"
"Had to stay up all night fixing a bug.","Completely exhausted.","Negative"
"My teacher praised my creativity.","That made my day.","Positive"
"Couldn't find my exam hall on time.","Started late and panicked.","Negative"
"Finished a big task ahead of schedule.","Feels great!","Positive"
"My internship application got rejected.","Feeling discouraged.","Negative"
"Attended an inspiring career seminar.","Learned a lot.","Positive"
"My group members didn’t contribute at all.","Had to do everything myself.","Negative"
"Received my first work promotion!","Years of effort paid off.","Positive"
"Had a bad headache during my final exam.","Couldn’t focus well.","Negative"
"My research proposal got approved.","Excited to start!","Positive"
"My professor didn’t respond to my emails.","Left me uncertain.","Negative"
"Finally organized all my notes.","Now everything is in order.","Positive"
"My workload doubled this week.","Struggling to keep up.","Negative"
"Received a promotion at work.","Busy day but got things done.","Positive"
"Completed my toughest assignment.","Feeling neutral about it.","Positive"
"Got recognized for my efforts.","Keeping things steady.","Positive"
"My mentor praised my work.","Trying to stay positive.","Positive"
"Successfully defended my thesis.","Nothing special happened.","Positive"
"Achieved my monthly sales target.","Could have been worse.","Positive"
"Solved a difficult programming problem.","Just moving forward.","Positive"
"Passed my certification exam!","Keeping up with my routine.","Positive"
"Landed my dream internship.","Still thinking about it.","Positive"
"Finished writing a book chapter.","It was an average day.","Positive"
"Helped a colleague solve an issue.","Not bad, not great.","Positive"
"Hosted a successful webinar.","Just another experience.","Positive"
"Won an award for my research.","Staying focused on my goals.","Positive"
"Students appreciated my teaching.","Not sure what to expect next.","Positive"
"Got an offer from a top company.","Taking things as they come.","Positive"
"Delivered a great presentation.","Trying to stay balanced.","Positive"
"Published my first academic paper.","Looking forward to tomorrow.","Positive"
"Improved my coding skills.","Hope things improve.","Positive"
"Overcame my public speaking fear.","Feeling neutral about it.","Positive"
"Received positive feedback from clients.","Busy day but got things done.","Positive"
"Missed an important deadline.","Hope things improve.","Negative"
"Had an argument with my boss.","Feeling neutral about it.","Negative"
"Failed my final exam.","Not sure how I feel.","Negative"
"Lost all my project files.","It was just another day.","Negative"
"Got rejected from another job.","Keeping things steady.","Negative"
"Couldn’t meet the project deadline.","Trying to stay positive.","Negative"
"Had a stressful meeting today.","Nothing special happened.","Negative"
"Spilled coffee on my laptop.","Could have been worse.","Negative"
"My code kept failing all day.","Just moving forward.","Negative"
"Didn’t get the scholarship I applied for.","Keeping up with my routine.","Negative"
"Team ignored my contributions.","Still thinking about it.","Negative"
"Woke up late and missed my exam.","It was an average day.","Negative"
"Had a terrible internet connection.","Not bad, not great.","Negative"
"Overwhelmed with too many tasks.","Just another experience.","Negative"
"Boss criticized my performance harshly.","Staying focused on my goals.","Negative"
"Lost my notes before the test.","Not sure what to expect next.","Negative"
"Group members didn’t do their part.","Taking things as they come.","Negative"
"Worked overtime without recognition.","Trying to stay balanced.","Negative"
"Struggled with an unfamiliar task.","Will try to continue tomorrow.","Negative"
"Got a lower grade than expected.","Hope things improve.","Negative"
"Attended a work seminar today.","Everything wenr well.","Positive"
"Had a routine meeting with my team.","Not sure how I feel.","Neutral"
"Started reading a new book.","It was just another day.","Neutral"
"Had lunch with my colleagues.","Keeping things steady.","Neutral"
"Updated my resume.","Trying to stay positive.","Neutral"
"Reviewed my past assignments.","Nothing special happened.","Neutral"
